202503.0,1.0,240,4387,3762,961,1451,1451,23801.0
202503.0,1.0,240,4387,5038,5212,1450,1450,23801.0
202309.0,1.0,240,4387,5387,5387,1448,1448,23254.0
202506.0,1.0,240,4401,4067,5388,2674,2674,23893.0
202412.0,1.0,240,4401,4248,4844,2588,2588,23711.0
202602.0,1.0,240,4405,5780,5780,3067,3067,24138.0
202308.0,1.0,240,4410,4342,4342,2830,2830,23223.0
202506.0,1.0,240,4421,4895,4216,2062,2062,23893.0
202509.0,1.0,240,4449,4450,13,1622,1622,23985.0
202511.0,1.0,240,4452,5620,5731,3328,3328,24046.0
202411.0,1.0,240,4452,6041,5732,3308,3308,23681.0
202505.0,1.0,240,4452,6053,4454,3308,3308,23862.0
202509.0,1.0,240,4463,98,99,1777,1777,23985.0
202506.0,1.0,240,4463,19,19,1767,1767,23893.0
202509.0,1.0,240,4463,40,40,1769,1769,23985.0
202509.0,1.0,240,4463,31,31,1776,1776,23985.0
202308.0,1.0,240,4463,65,66,3401,3401,23223.0
202311.0,1.0,240,4463,286,6142,1750,1750,23315.0
202311.0,1.0,240,4463,135,136,1753,1753,23315.0
202304.0,1.0,240,4463,139,237,3400,3400,23101.0
202402.0,1.0,240,4463,184,184,1751,1751,23407.0
202402.0,1.0,240,4463,186,5977,1748,1748,23407.0
202402.0,1.0,240,4463,209,6315,1749,1749,23407.0
202501.0,1.0,240,4463,232,233,1759,1759,23742.0
202304.0,1.0,240,4463,254,255,3399,3399,23101.0
202308.0,1.0,240,4463,430,15,3401,3401,23223.0
202308.0,1.0,240,4463,554,5988,3401,3401,23223.0
202509.0,1.0,240,4463,646,646,1772,1772,23985.0
202509.0,1.0,240,4463,647,647,1770,1770,23985.0
202509.0,1.0,240,4463,648,648,1775,1775,23985.0
202509.0,1.0,240,4463,649,649,1774,1774,23985.0
202405.0,1.0,240,4463,650,651,1755,1755,23497.0
202512.0,1.0,240,4463,653,653,1785,1785,24076.0
202512.0,1.0,240,4463,680,680,1782,1782,24076.0
202511.0,1.0,240,4463,681,681,1778,1778,24046.0
202511.0,1.0,240,4463,959,959,1778,1778,24046.0
202511.0,1.0,240,4463,975,975,1778,1778,24046.0
202512.0,1.0,240,4463,1140,1140,1780,1780,24076.0
202410.0,1.0,240,4463,3554,3555,1758,1758,23650.0
202512.0,1.0,240,4463,3599,3599,1781,1781,24076.0
202512.0,1.0,240,4463,3600,3600,1785,1785,24076.0
202506.0,1.0,240,4463,3662,3662,1768,1768,23893.0
202304.0,1.0,240,4463,3702,3702,3397,3397,23101.0
202311.0,1.0,240,4463,3722,3722,1753,1753,23315.0
202308.0,1.0,240,4463,3752,3753,3401,3401,23223.0
202308.0,1.0,240,4463,3752,3754,3401,3401,23223.0
202311.0,1.0,240,4463,3797,4466,1753,1753,23315.0
202405.0,1.0,240,4463,3815,3815,1754,1754,23497.0
202308.0,1.0,240,4463,4178,4178,3401,3401,23223.0
202405.0,1.0,240,4463,4184,4184,1755,1755,23497.0
202602.0,1.0,240,4463,4249,4249,1784,1784,24138.0
202506.0,1.0,240,4463,4299,4299,1767,1767,23893.0
202410.0,1.0,240,4463,4464,686,1757,1757,23650.0
202506.0,1.0,240,4463,4468,4468,1768,1768,23893.0
202311.0,1.0,240,4463,4773,4774,1752,1752,23315.0
202501.0,1.0,240,4463,4869,4869,1759,1759,23742.0
202306.0,1.0,240,4463,4934,4934,3398,3398,23162.0
202311.0,1.0,240,4463,4940,4940,1753,1753,23315.0
202311.0,1.0,240,4463,4945,4945,1753,1753,23315.0
202304.0,1.0,240,4463,4946,4946,3397,3397,23101.0
202410.0,1.0,240,4463,5111,5112,1756,1756,23650.0
202506.0,1.0,240,4463,5188,5188,1768,1768,23893.0
202509.0,1.0,240,4463,5418,5418,1779,1779,23985.0
202311.0,1.0,240,4463,5615,5615,1753,1753,23315.0
202511.0,1.0,240,4463,5805,5805,1778,1778,24046.0
202512.0,1.0,240,4463,5993,5993,1785,1785,24076.0
202509.0,1.0,240,4463,5999,5999,1779,1779,23985.0
202304.0,1.0,240,4463,6038,6038,3397,3397,23101.0
202506.0,1.0,240,4463,6120,6120,1767,1767,23893.0
202506.0,1.0,240,4463,6299,6299,1768,1768,23893.0
202509.0,1.0,240,4463,6306,6306,1773,1773,23985.0
202509.0,1.0,240,4463,6307,6307,1771,1771,23985.0
202512.0,1.0,240,4463,6320,6320,1783,1783,24076.0
202512.0,1.0,240,4463,955,955,1785,1785,24076.0
202509.0,1.0,240,4463,4168,4168,1779,1779,23985.0
202512.0,1.0,240,4463,4169,4169,1785,1785,24076.0
202411.0,1.0,240,4469,435,3776,2963,2963,23681.0
202506.0,1.0,240,4469,974,4471,3014,3014,23893.0
202411.0,1.0,240,4469,980,4472,2968,2968,23681.0
202411.0,1.0,240,4469,982,37,2964,2964,23681.0
202307.0,1.0,240,4469,4113,3695,2822,2822,23192.0
202307.0,1.0,240,4469,4114,5512,2821,2819,23192.0
202307.0,1.0,240,4469,4117,4117,2820,2820,23192.0
202506.0,1.0,240,4469,4254,69,3015,3015,23893.0
202411.0,1.0,240,4469,4470,4855,2967,2967,23681.0
202506.0,1.0,240,4474,115,6329,1881,1881,23893.0
202411.0,1.0,240,4474,119,3640,1848,1848,23681.0
202602.0,1.0,240,4474,124,6195,1913,1913,24138.0
202602.0,1.0,240,4474,131,6145,1912,1912,24138.0
202508.0,1.0,240,4474,152,152,1887,1887,23954.0
202507.0,1.0,240,4474,154,6389,1883,1883,23923.0
202506.0,1.0,240,4474,151,6351,1879,1879,23893.0
